parcel,parcelno,address,city,zip,homestead,justValue,assessedValue,taxableValue
363S18161700000030,,25 POMPANO PL,INLET BEACH,32461,,1709364,1709364,1709364
363S18161700000040,,27 POMPANO PL,INLET BEACH,32461,,1571239,1310234,1310234
363S18161000001470,,,INLET BEACH,32461,,580000,580000,580000
363S18161800000020,,17 GRANDE POINTE DR S,INLET BEACH,32461,,761012,761012,761012
363S18161700000050,,42 POMPANO ST,INLET BEACH,32461,,2846609,2846609,2846609
363S18161000001340,,378 POMPANO ST,INLET BEACH,32461,,2356726,1912031,1912031
363S18161000001431,,74 POMPANO ST,INLET BEACH,32461,O,1864944,1864944,1814222
363S18161000001433,,90 POMPANO ST,INLET BEACH,32461,,1752970,825691,825691
363S18161000001372,,274 POMPANO ST,INLET BEACH,32461,,3312950,3312950,3312950
363S18161000001375,,278 POMPANO ST,INLET BEACH,32461,,1504205,1504205,1504205
363S18161800000070,,91 GRANDE POINTE DR S,INLET BEACH,32461,,1159465,1159465,1159465
363S18161800000060,,87 GRANDE POINTE DR S,INLET BEACH,32461,,909760,705478,705478
363S18161700000060,,11 POMPANO CT,INLET BEACH,32461,,742203,742203,742203
363S18161800000010,,11 GRANDE POINTE DR S,INLET BEACH,32461,H,871029,534872,484150
363S18161700000100,,14 POMPANO CT,INLET BEACH,32461,,982056,982056,982056
363S18161000001341,,408 POMPANO ST,INLET BEACH,32461,,1799090,1799090,1799090
363S181617000000A0,,,INLET BEACH,32461,,0,0,0
363S18161000001490,,US HWY 98 E,INLET BEACH,32461,,560000,560000,560000
363S181617000000A0,,,INLET BEACH,32461,,0,0,0
363S18161700000090,,POMPANO CT,INLET BEACH,32461,,900711,200859,200859
363S18161000001430,,76 POMPANO ST,INLET BEACH,32461,,1226927,980990,980990
363S18161000001432,,92 POMPANO ST,INLET BEACH,32461,O,1632375,441898,391176
363S18161000001140,,US HWY 98 E,INLET BEACH,32461,,4001,4001,0
363S18161800000220,,26 GRANDE POINTE CIR,INLET BEACH,32461,,297000,105531,105531
363S18161800000210,,20 GRANDE POINTE CIR,INLET BEACH,32461,,1054849,827659,827659
363S18161800000200,,10 GRANDE POINTE CIR,INLET BEACH,32461,,773497,773497,773497
363S18161000001392,,192 POMPANO ST,INLET BEACH,32461,,1107555,321987,321987
363S18161800000230,,32 GRANDE POINTE CIR,INLET BEACH,32461,H,760287,266760,216038
363S18161800000880,,416 GRANDE POINTE CIR,INLET BEACH,32461,,956397,735327,735327
363S18161800000890,,406 GRANDE POINTE CIR,INLET BEACH,32461,O,1050849,553736,503014
363S18161800000900,,394 GRANDE POINTE CIR,INLET BEACH,32461,,297000,297000,297000
363S18161800000240,,GRANDE POINTE CIR,INLET BEACH,32461,,311850,77076,77076
363S18161800000910,,386 GRANDE POINTE CIR,INLET BEACH,32461,,877584,877584,877584
363S18161000001354,,336 POMPANO ST,INLET BEACH,32461,,1575131,1575131,1575131
363S18161800000920,,382 GRANDE POINTE CIR,INLET BEACH,32461,,1098447,1098447,1098447
363S18161800000250,,42 GRANDE POINTE CIR,INLET BEACH,32461,,1510821,1510821,1510821
363S18161650000050,,49 EAGLES LANDING,INLET BEACH,32461,,1505380,1486022,1486022
363S18161600000050,,58 HIGH TIDE WAY,INLET BEACH,32461,,2180226,2102965,2102965
363S18161800000260,,48 GRANDE POINTE CIR,INLET BEACH,32461,,699248,699248,699248
363S1816100000105C,,,INLET BEACH,32461,,433200,87125,87125
363S18161000001150,,US HWY 98 E,INLET BEACH,32461,,123750,77876,77876
363S18161650000040,,45 EAGLES LANDING,INLET BEACH,32461,,1292157,1292157,1292157
363S18161650000060,,46 EAGLES LANDING,INLET BEACH,32461,,1412602,807418,807418
363S18161800000270,,43 GRANDE POINTE CIR,INLET BEACH,32461,,699078,502307,502307
363S18161800000860,,38 GRANDE POINTE DR,INLET BEACH,32461,,804108,580319,580319
363S18161800000870,,37 GRANDE POINTE DR,INLET BEACH,32461,,963603,963603,963603
363S18161800000940,,370 GRANDE POINTE CIR,INLET BEACH,32461,H,810670,461435,0
363S18161800000950,,371 GRANDE POINTE CIR,INLET BEACH,32461,,699878,503479,503479
363S18161120000040,,48 WILD DUNES WAY,INLET BEACH,32461,,2539177,1739467,1739467
363S18161600000040,,HIGH TIDE WAY,INLET BEACH,32461,,500000,143692,143692
363S18161120000050,,47 WILD DUNES WAY,INLET BEACH,32461,,2334757,2334757,2334757
363S18161800000280,,54 GRANDE POINTE CIR,INLET BEACH,32461,,977788,977788,977788
363S18161800000290,,55 GRANDE POINTE CIR,INLET BEACH,32461,,868979,868979,868979
363S18161800000840,,46 GRANDE POINTE DR,INLET BEACH,32461,H,717947,258356,157634
363S18161800000850,,45 GRANDE POINTE DR,INLET BEACH,32461,,913582,913582,913582
363S18161800000960,,364 GRANDE POINTE CIR,INLET BEACH,32461,,698678,698678,698678
363S18161800000970,,359 GRANDE POINTE CIR,INLET BEACH,32461,,822665,624720,624720
363S18161650000030,,37 EAGLES LANDING,INLET BEACH,32461,,400000,400000,400000
363S18161650000070,,38 EAGLES LNDG,INLET BEACH,32461,,400000,59631,59631
363S18161000001233,,219 WALTON ROSE LN,INLET BEACH,32461,,1377597,1210847,1210847
363S18161800000300,,62 GRANDE POINTE CIR,INLET BEACH,32461,,1489818,1489818,1489818
363S18161600000030,,36 HIGH TIDE WAY,INLET BEACH,32461,,1552975,1070701,1070701
363S18161200000060,,231 WINSTON LN,INLET BEACH,32461,,3456004,2811976,2811976
363S18161200000050,,223 WINSTON LN,INLET BEACH,32461,,2355533,2162856,2162856
363S18161800000310,,65 GRANDE POINTE CIR,INLET BEACH,32461,,955892,718245,718245
363S18161800000820,,54 GRANDE POINTE DR,INLET BEACH,32461,,1107764,1107764,1107764
363S18161120000060,,39 WILD DUNES WAY,INLET BEACH,32461,H,1581153,1581153,1530431
363S18161800000830,,55 GRANDE POINTE DR,INLET BEACH,32461,,270000,270000,270000
363S18161800000990,,349 GRANDE POINTE CIR,INLET BEACH,32461,H,864764,440120,389398
363S18161800000980,,350 GRANDE POINTE CIR,INLET BEACH,32461,O,695514,326620,275898
363S18161200000110,,273 WINSTON LN,INLET BEACH,32461,,3046976,3046976,3046976
363S18161200000100,,263 WINSTON LN,INLET BEACH,32461,,2038664,1944016,1944016
363S18161200000090,,255 WINSTON LN,INLET BEACH,32461,,2611628,2611628,2611628
363S18161200000080,,247 WINSTON LN,INLET BEACH,32461,,2295602,2295602,2295602
363S18161200000070,,237 WINSTON LN,INLET BEACH,32461,,2568697,2568697,2568697
363S18161200000040,,213 WINSTON LN,INLET BEACH,32461,,2402840,2402840,2402840
363S18161200000030,,209 WINSTON LN,INLET BEACH,32461,,2752041,2415647,2415647
363S18161200000020,,195 WINSTON LN,INLET BEACH,32461,,2764671,2476198,2476198
363S18161200000010,,185 WINSTON LN,INLET BEACH,32461,,4003073,3541803,3541803
363S18161000001234,,227 WALTON ROSE LN,INLET BEACH,32461,,1259514,410540,410540
363S18161650000020,,25 EAGLES LANDING,INLET BEACH,32461,H,1146025,493558,442836
363S18161800000320,,74 GRANDE POINTE CIR,INLET BEACH,32461,,883466,618258,618258
363S18161650000080,,26 EAGLES LANDING,INLET BEACH,32461,H,2131095,2046230,1995508
363S1816100000105B,,,INLET BEACH,32461,,320636,92122,92122
363S18161800000330,,75 GRANDE POINTE CIR,INLET BEACH,32461,,863537,863537,863537
363S18161800000800,,64 GRANDE POINTE DR,INLET BEACH,32461,,798822,798822,798822
363S1816100000105A,,85 HOLLY LEAF LN,INLET BEACH,32461,,544775,245321,245321
363S18161600000020,,24 HIGH TIDE WAY,INLET BEACH,32461,,1512950,1119129,1119129
363S181612000000A0,,,INLET BEACH,32461,,0,0,0
363S18161800000810,,63 GRANDE POINTE DR,INLET BEACH,32461,,1261902,1261902,1261902
363S18161800001010,,343 GRANDE POINTE CIR,INLET BEACH,32461,,1450719,1450719,1450719
363S18161800001000,,342 GRANDE POINTE CIR,INLET BEACH,32461,,766979,766979,766979
353S18160610040050,,78 WINDWARD LN,INLET BEACH,32461,,4938342,4636547,4636547
363S18161120000070,,25 WILD DUNES WAY,INLET BEACH,32461,,1580373,1580373,1580373
363S181611200000A0,,,INLET BEACH,32461,,0,0,0
353S18160610040060,,84 WINDWARD LN,INLET BEACH,32461,,5568313,5568313,5568313
353S18160610040040,,74 WINDWARD LN,INLET BEACH,32461,,4574038,4574038,4574038
363S18161800000340,,82 GRANDE POINTE CIR,INLET BEACH,32461,,1369186,1369186,1369186
363S18161800000350,,GRANDE POINTE CIR,INLET BEACH,32461,,270000,92100,92100
363S18161800000780,,70 GRANDE POINTE DR,INLET BEACH,32461,,855233,855233,855233
353S18160610040030,,72 WINDWARD LN,INLET BEACH,32461,,5437895,5437895,5437895
363S18161800000790,,71 GRANDE POINTE DR,INLET BEACH,32461,,1334783,1334783,1334783
363S18161650000010,,11 EAGLES LANDING,INLET BEACH,32461,,400000,59631,59631
363S18161650000090,,12 EAGLES LNDG,INLET BEACH,32461,,400000,59631,59631
363S18161800001020,,338 GRANDE POINTE CIR,INLET BEACH,32461,O,759675,385950,335228
363S18161000001160,,13226 E US HWY 98,INLET BEACH,32461,,1107150,799521,799521
363S18161600000010,,HIDE TIDE WAY,INLET BEACH,32461,,500000,77272,77272
363S18161000001235,,217 WALTON ROSE LN,INLET BEACH,32461,,1362708,1362708,1362708
353S18160600040020,,70 WINDWARD LN,INLET BEACH,32461,,9990155,9990155,9990155
363S18161800000360,,GRANDE POINTE CIR,INLET BEACH,32461,,283500,123545,123545
363S18161800000370,,91 GRANDE POINTE CIR,INLET BEACH,32461,,1021328,1021328,1021328
363S18161800000760,,80 GRANDE POINTE DR,INLET BEACH,32461,,848425,848425,848425
353S18160600050070,,34 ATWOODS CT,INLET BEACH,32461,,5548117,5548117,5548117
363S18161800000770,,79 GRANDE POINTE DR,INLET BEACH,32461,O,1199774,1199774,1149052
363S18161200000130,,343 WALTON ROSE LN,INLET BEACH,32461,,2442012,2050665,2050665
363S18161200000140,,355 WALTON ROSE LN,INLET BEACH,32461,H,2580212,1141205,1090483
353S18160600050080,,36 ATWOODS CT,INLET BEACH,32461,,4994716,4851435,4851435
363S18161800001040,,GRANDE POINTE CIR,INLET BEACH,32461,,270000,77076,77076
363S18161200000150,,361 WALTON ROSE LN,INLET BEACH,32461,,2499274,2085060,2085060
363S18161200000160,,371 WALTON ROSE LN,INLET BEACH,32461,H,2337822,2256275,2205553
363S18161800001090,,309 GRANDE POINTE CIR,INLET BEACH,32461,,685386,685386,685386
353S18160600170010,,365 E WATER ST,INLET BEACH,32461,,5509367,5509367,5509367
353S18160600060030,,25 S BELIZE LN,INLET BEACH,32461,,2554840,2554840,2554840
353S18160600080060,,165 ROSEMARY AVE,INLET BEACH,32461,,3836435,3370830,3370830
363S18161000000773,,,INLET BEACH,32461,,238759,238759,238759
353S181606000000D0,,399 E WATER ST,INLET BEACH,32461,,0,0,0
363S18161000000685,,IRISH WAY,INLET BEACH,32461,,243200,46177,46177
353S18160600100010,,349 E WATER ST,INLET BEACH,32461,,5432936,5432936,5432936
363S18161000000680,,IRISH WAY,INLET BEACH,32461,,243200,243200,243200
363S18161000000686,,116 N ORANGE ST,INLET BEACH,32461,,256368,180881,180881
353S181606000000A0,,6 ROUND RD,INLET BEACH,32461,,0,0,0
353S18160600170040,,387 E WATER ST,INLET BEACH,32461,,5716292,4621539,4621539
353S18160600020030,,25 ST GEORGE'S LN,INLET BEACH,32461,,1893557,1893557,1893557
363S18161000000684,,74 IRISH WAY,INLET BEACH,32461,,517200,517200,517200
353S18160600020020,,17 ST GEORGE'S LN,INLET BEACH,32461,,3041673,3041673,3041673
353S18160600020010,,171 ROUND RD,INLET BEACH,32461,,5048710,4503437,4503437
353S18160600180020,,77 S GREEN TURTLE LN,INLET BEACH,32461,,16835126,16835126,16835126
353S18160600060020,,17 S BELIZE LN,INLET BEACH,32461,,2463011,2209643,2209643
353S18160600080050,,28 N CARTAGENA LN B,INLET BEACH,32461,,2801575,2801575,2801575
353S18160600060120,,174 ROUND RD,INLET BEACH,32461,,3179969,2819999,2819999
353S18160600080120,,28 S BELIZE LN,INLET BEACH,32461,,3361685,3361685,3361685
363S18161250000050,,80 PINECREST CIR,INLET BEACH,32461,,1840511,1595507,1595507
363S18161250000060,,70 PINECREST CIR,INLET BEACH,32461,,1887569,1887569,1887569
363S18161250000070,,60 PINECREST CIR,INLET BEACH,32461,,1739273,1739273,1739273
363S18161250000080,,52 PINECREST CIR,INLET BEACH,32461,,2069324,1742386,1742386
353S18160600080040,,32 N CARTAGENA LN,INLET BEACH,32461,,1743342,1743342,1743342
353S18160600180010,,409 E WATER ST,INLET BEACH,32461,,8532697,8532697,8532697
363S18161800000540,,170 GRANDE POINTE CIR,INLET BEACH,32461,,1267688,1267688,1267688
363S18161800000550,,174 GRANDE POINTE CIR,INLET BEACH,32461,,854184,854184,854184
363S18161800000560,,176 GRANDE POINTE CIR,INLET BEACH,32461,,807618,807618,807618
363S18161250000090,,46 PINECREST CIR,INLET BEACH,32461,,3136702,3136702,3136702
363S18161800000570,,180 GRANDE POINTE CIR,INLET BEACH,32461,H,849780,849780,799058
363S18161800000580,,186 GRANDE POINTE CIR,INLET BEACH,32461,,1040730,1040730,1040730
363S18161800000590,,GRANDE POINTE CIR,INLET BEACH,32461,,270000,160611,160611
363S18161000000774,,,INLET BEACH,32461,,380652,380652,380652
353S18160600110050,,139 ROSEMARY AVE,INLET BEACH,32461,,3599090,3197972,3197972
363S18161800001270,,216 GRANDE POINTE CIR,INLET BEACH,32461,H,839234,839234,788512
363S18161000000770,,,INLET BEACH,32461,,919417,919417,919417
353S18160600060010,,144 ROUND RD,INLET BEACH,32461,,3317564,3317564,3317564
363S18161800001260,,224 GRANDE POINTE CIR,INLET BEACH,32461,,888295,838076,838076
353S18160600080130,,16 S BELIZE LN,INLET BEACH,32461,,2652464,2370434,2370434
363S18161800001250,,234 GRANDE POINTE CIR,INLET BEACH,32461,,980477,980477,975477
353S18160600190010,,141 HOPE TOWN LN,INLET BEACH,32461,H,16119827,16119827,16069105
363S18161800001240,,242 GRANDE POINTE CIR,INLET BEACH,32461,O,861908,453633,397911
363S18161800001230,,250 GRANDE POINTE CIR,INLET BEACH,32461,,880336,880336,880336
363S18161800001220,,392 WALTON PALM RD,INLET BEACH,32461,,297000,77076,77076
353S18160600160010,,356 E WATER ST,INLET BEACH,32461,,4322011,3754735,3754735
353S18160600080030,,38 N CARTAGENA LN,INLET BEACH,32461,,3216752,2442018,2442018
353S18160620190060,,124 HOPE TOWN LN,INLET BEACH,32461,,13675815,13675815,13675815
363S18164000000020,,23 SHARLENE LN,INLET BEACH,32461,,237148,237148,237148
353S18160600110040,,325 E WATER ST,INLET BEACH,32461,O,3179252,1983292,1927570
353S18160600180040,,427 E WATER ST,INLET BEACH,32461,,8564849,8564849,8564849
353S18160600160040,,388 E WATER ST,INLET BEACH,32461,,3515050,3024937,3024937
363S18161000000677,,293 N WALTON LAKESHORE DR,INLET BEACH,32461,,380820,209531,209531
353S18160600080020,,46 N CARTAGENA LN B,INLET BEACH,32461,,3043520,2711829,2711829
353S18160600080140,,122 ROUND RD,INLET BEACH,32461,,3077581,2737404,2737404
353S18160600110030,,319 E WATER ST,INLET BEACH,32461,H,2775135,2775135,2724413
353S18160600010010,,29 ABACO LN,INLET BEACH,32461,,3181728,2796947,2796947
363S18161250000100,,42 PINECREST CIR,INLET BEACH,32461,,1806286,1523315,1523315
353S18160620190050,,122 HOPE TOWN LN,INLET BEACH,32461,,5700042,5700042,5700042
363S18161000000675,,124 WALTON PALM RD,INLET BEACH,32461,O,438273,157122,101400
353S181606200000E0,,,INLET BEACH,32461,,0,0,0
353S18160600160020,,106 ROSEMARY AVE,INLET BEACH,32461,,2998686,2998686,2998686
353S18160600190020,,125 HOPE TOWN LN,INLET BEACH,32461,,10258217,10258217,10258217
353S18160600010050,,32 ABACO LN,INLET BEACH,32461,,4729254,4230243,4230243
353S18160600160050,,41 S GREEN TURTLE LN,INLET BEACH,32461,,4454120,3809780,3809780
353S18160600070060,,8 N BELIZE LN,INLET BEACH,32461,,3484874,3014100,3014100
353S18160620190040,,118 HOPE TOWN LN,INLET BEACH,32461,,4938898,4938898,4938898
353S18160600080010,,102 ROUND RD,INLET BEACH,32461,,3616557,3279067,3279067
353S18160600110020,,313 E WATER ST,INLET BEACH,32461,,3249284,3249284,3249284
353S181606300000A0,,,INLET BEACH,32461,,0,0,0
353S18160600140040,,115 ROSEMARY AVE,INLET BEACH,32461,,3063014,3063014,3063014
353S18160600010020,,37 ABACO LN,INLET BEACH,32461,,3026541,3026541,3026541
353S18160600140030,,18 DUNMORE TOWN LN,INLET BEACH,32461,,2893474,2533012,2533012
353S18160620240040,,135 NEW PROVIDENCE LN,INLET BEACH,32461,,12839033,12839033,12839033
353S18160620190030,,473 E WATER ST,INLET BEACH,32461,,5832922,5832922,5832922
353S18160600160030,,92 ROSEMARY AVE,INLET BEACH,32461,,4051404,3587422,3587422
353S18160600200050,,440 E WATER ST,INLET BEACH,32461,,4166937,3586049,3586049
363S18161000000771,,10952 E CO HWY 30A,INLET BEACH,32461,,3387066,3387066,3387066
353S18160600070050,,18 N BELIZE LN,INLET BEACH,32461,,3071135,2699661,2699661
353S18160600070010,,121 ROUND RD,INLET BEACH,32461,,3306736,2695273,2695273
353S18160600110010,,80 ROUND RD,INLET BEACH,32461,,3003043,2673012,2673012
353S18160620240030,,133 NEW PROVIDENCE LN,INLET BEACH,32461,,5711411,4988395,4988395
353S18160600160060,,29 S GREEN TURTLE LN,INLET BEACH,32461,H,3863096,3654949,3604227
353S18160630240050,,139 NEW PROVIDENCE LN,INLET BEACH,32461,,6602668,6602668,6602668
363S18161250000020,,94 PINECREST CIR,INLET BEACH,32461,,3479020,3479020,3479020
263S18160000020011,,208 BEACH BIKE WAY,INLET BEACH,32461,,2087234,2087234,2087234
263S181601000D0030,,218 BEACH BIKE WAY,INLET BEACH,32461,H,1758359,870115,819393
263S181603400N0130,,85 WOODY WAGON WAY,INLET BEACH,32461,,885889,806124,806124
273S181605300B0110,,221 SAND CLIFFS DR,INLET BEACH,32461,,4386322,4189611,4189611
273S181605100A0040,,144 SAND CLIFFS DR,INLET BEACH,32461,,3500000,2167645,2167645
263S181603400N0120,,79 WOODY WAGON WAY,INLET BEACH,32461,,1212078,968288,968288
263S181601000D0020,,BEACH BIKE WAY,INLET BEACH,32461,,528000,528000,528000
263S181603400M0110,,36 MOONLIGHT BEACH LN,INLET BEACH,32461,,1682730,1682730,1682730
263S181603400N0230,,215 SEACREST BEACH BLVD W,INLET BEACH,32461,,1197826,1161454,1161454
273S181605500D0090,,152 WALTON BUENA VISTA DR,INLET BEACH,32461,,1461593,1302095,1302095
273S181605200B0060,,175 SAND CLIFFS DR,INLET BEACH,32461,,3009657,2292833,2292833
273S181605500D0060,,WALTON BUENA VISTA DR,INLET BEACH,32461,,975000,557334,557334
263S181603400M0120,,21 WOODY WAGON WAY,INLET BEACH,32461,,1026783,868589,868589
273S181605500D0170,,169 WALTON BUENA VISTA DR,INLET BEACH,32461,,1594977,1594977,1594977
263S181603400N0180,,29 ENDLESS SUMMER WAY W,INLET BEACH,32461,,1047598,1047598,1047598
263S181603400M0130,,17 WOODY WAGON WAY,INLET BEACH,32461,,1119695,1119695,1119695
273S181605200B0050,,169 SAND CLIFFS DR,INLET BEACH,32461,,2864813,1118809,1118809
263S181603400N0190,,21 ENDLESS SUMMER WAY W,INLET BEACH,32461,,1240074,1158493,1158493
273S181605200A0000,,,INLET BEACH,32461,,0,0,0
273S181605100A0010,,112 SAND CLIFFS DR,INLET BEACH,32461,,3411179,2021099,2021099
253S18160900000231,,W RATTLESNAKE TRL,INLET BEACH,32461,,78652,78652,78652
273S18167000000130,,103 COTTAGE WAY 13,INLET BEACH,32461,,536336,479669,479669
273S18167000000280,,203 COTTAGE WAY 28,INLET BEACH,32461,,575077,511069,511069
273S181605000C0050,,8512 E CO HWY 30A,INLET BEACH,32461,O,12589727,12098701,12042979
253S18160900000050,,OLD TRAIL RD,INLET BEACH,32461,,510720,304538,304538
273S18163000000080,,50 GOSSAMER LN 8,INLET BEACH,32461,,665931,435741,435741
273S18160300000090,,116 WALTON GULFVIEW DR,INLET BEACH,32461,,790000,790000,790000
253S18160900000060,,OLD TRAIL RD,INLET BEACH,32461,,665600,257185,257185
273S181605000C0060,,8504 E CO HWY 30A,INLET BEACH,32461,,6179963,4796083,4796083
273S18160300000140,,117 WALTON GULFVIEW DR,INLET BEACH,32461,O,952485,120710,69988
273S18167000000140,,111 COTTAGE WAY 14,INLET BEACH,32461,,637763,637763,637763
273S18167000000270,,197 COTTAGE WAY 27,INLET BEACH,32461,,643570,643570,643570
253S18160900000080,,JEEP RD,INLET BEACH,32461,,53504,31904,31904
273S18163000000090,,50 GOSSAMER LN 9,INLET BEACH,32461,,665931,333927,333927
253S18160900000090,,JEEP RD,INLET BEACH,32461,,364800,217528,217528
273S18164100000060,,78 PELICAN GLIDE LN,INLET BEACH,32461,,1692221,1049521,1049521
273S181605000C0070,,8484 E CO HWY 30A,INLET BEACH,32461,H,4749600,1331903,1281181
273S18163000000100,,50 GOSSAMER LN 10,INLET BEACH,32461,,609111,609111,609111
273S18167000000150,,117 COTTAGE WAY 15,INLET BEACH,32461,,622717,622717,622717
273S18167000000260,,189 COTTAGE WAY 26,INLET BEACH,32461,,622717,539444,539444
273S18163000000101,,50 GOSSAMER LN 11,INLET BEACH,32461,O,601743,216575,165853
273S18163000000110,,50 GOSSAMER LN 12,INLET BEACH,32461,,637582,393433,393433
273S18160300000100,,128 WALTON GULFVIEW DR,INLET BEACH,32461,,2135892,2029165,2029165
273S18160300000141,,129 WALTON GULFVIEW DR,INLET BEACH,32461,O,981155,364839,314117
273S18167000000160,,123 COTTAGE WAY 16,INLET BEACH,32461,,611861,541077,541077
273S18167000000250,,183 COTTAGE WAY 25,INLET BEACH,32461,,618166,536759,536759
273S18165000000020,,29 TRANQUIL WAY,INLET BEACH,32461,,1052136,884923,884923
273S181630000000A0,,50 GOSSAMER LN,INLET BEACH,32461,,69,69,69
